sites	pH	SOC 	BD	WFPS	N	CN_ratio	MB_C	MB_N	MB_CN	NH4	NO3	K2SO4	N_fix_rate
CA_C	8,61	744	1,4	56	84	8,9	22663	2064	11	149	292	169	9,4
CA_C	8,72	758	1,3	 	79	9,6	37441	3036	12,3	183	215	248	5,45
CA_C	8,40	949	1,3	58	88	10,7	34728	3056	11,4	113	360	178	6,74
CA_C	8,43	1275	1,2	71	121	10,5	38438	3810	10,1	75	348	274	11,24
CA_C	8,22	972	1,2	70	107	9,1	40064	3618	11,1	195	549	341	16,62
CA_T	8,26	1098	1,2	49	79	13,9	42700	4271	10	107	36	168	168,64
CA_T	8,32	982	1,2	49	84	11,7	51138	4514	11,3	125	62	179	449,51
CA_T	8,51	884	1,3	47	79	11,2	46161	3602	12,8	149	24	208	1028,9
CA_T	8,44	996	1,2	45	88	11,3	33739	3002	11,2	130	40	209	12,51
CA_T	8,44	1224	1,2	63	112	11,0	20114	2397	8,4	444	142	433	1071,47
F_U	5,28	1242	1	29	84	14,8	75117	4730	15,9	121	0	422	
F_U	5,79	1452	1,1	37	107	13,6	53187	3445	15,4	346	0	1007	17,21
F_U	4,93	1559	1	39	88	17,6	40924	2859	14,3	2069	46	907	
F_U	4,72	1265	0,9	33	74	17,0	27764	2072	13,4	959	7	1020	160,91
F_U	4,66	1577	1	57	98	16,1	39182	2591	15,1	767	352	433	64,26
F_L	4,30		0,9	30		 	26910	2346	11,5	156	107	669	9,66
F_L	4,41	1656	0,9	41	107	15,5	52473	3581	14,7	166	38	900	51,27
F_L	5,98	1731	0,9	21	98	17,7	65421	3996	16,4	872	0	1667	532,84
F_L	5,15	1810	0,6	50	98	18,5	55567	3656	15,2	229	0	735	160,59
F_L	5,19	1796	0,9	36	93	19,3	29789	2166	13,8	106	0	585	313,86
