study,soil,dataset,ecosystem,climate,soil.t,mdw,mvol,mps,mwplog,mwp,bd,c.org,ps,clay,silt,sand,ph,n.org,CtoN,som,pd,co2.rel,co2.dw,co2.om
Franzluebers_1999,FARM_01,FARM_c,Grassland,Temperate,25,0.028,0.038,0.078,3.481,3025.52,1.359,0.014,0.481,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.431,0.429,31.52
Franzluebers_1999,FARM_01,FARM_c,Grassland,Temperate,25,0.072,0.104,0.227,2.732,539.96,1.441,0.014,0.45,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.594,0.624,45.879
Franzluebers_1999,FARM_01,FARM_c,Grassland,Temperate,25,0.116,0.183,0.452,1.362,23,1.577,0.014,0.398,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.687,0.75,55.179
Franzluebers_1999,FARM_01,FARM_c,Grassland,Temperate,25,0.144,0.211,0.47,1.13,13.48,1.462,0.014,0.442,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.805,0.832,61.159
Franzluebers_1999,FARM_01,FARM_c,Grassland,Temperate,25,0.174,0.251,0.553,0.827,6.72,1.445,0.014,0.448,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.874,0.932,68.544
Franzluebers_1999,FARM_01,FARM_c,Grassland,Temperate,25,0.202,0.294,0.65,0.656,4.53,1.454,0.014,0.445,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,1.05,1.075,79.062
Franzluebers_1999,FARM_01,FARM_c,Grassland,Temperate,25,0.246,0.35,0.758,0.525,3.35,1.425,0.014,0.456,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.822,0.876,64.39
Franzluebers_1999,FARM_01,FARM_c,Grassland,Temperate,25,0.29,0.382,0.758,0.199,1.58,1.316,0.014,0.497,0.09,0.09,0.82,5.8,0.001,14.17,0.02,2.62,0.817,0.928,68.267
Franzluebers_1999,FARM_02,FARM_c,Grassland,Temperate,25,0.028,0.036,0.071,3.398,2503.14,1.295,0.015,0.505,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.235,0.272,18.042
Franzluebers_1999,FARM_02,FARM_c,Grassland,Temperate,25,0.072,0.093,0.181,3.083,1209.96,1.289,0.015,0.507,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.447,0.552,36.549
Franzluebers_1999,FARM_02,FARM_c,Grassland,Temperate,25,0.116,0.158,0.323,1.567,36.91,1.359,0.015,0.48,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.673,0.812,53.791
Franzluebers_1999,FARM_02,FARM_c,Grassland,Temperate,25,0.144,0.209,0.461,1.448,28.05,1.449,0.015,0.446,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.774,0.933,61.809
Franzluebers_1999,FARM_02,FARM_c,Grassland,Temperate,25,0.174,0.244,0.517,1.093,12.38,1.401,0.015,0.464,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.952,1.123,74.359
Franzluebers_1999,FARM_02,FARM_c,Grassland,Temperate,25,0.202,0.267,0.534,0.849,7.07,1.323,0.015,0.494,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.92,1.088,72.045
Franzluebers_1999,FARM_02,FARM_c,Grassland,Temperate,25,0.246,0.372,0.864,0.707,5.09,1.511,0.015,0.422,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.828,0.997,66.034
Franzluebers_1999,FARM_02,FARM_c,Grassland,Temperate,25,0.29,0.402,0.842,0.484,3.05,1.385,0.015,0.47,0.12,0.12,0.76,6.1,0.001,14.52,0.03,2.61,0.827,1.045,69.19
Franzluebers_1999,FARM_03,FARM_c,Grassland,Temperate,25,0.028,0.034,0.063,3.795,6231.05,1.217,0.02,0.533,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.17,0.224,11.083
Franzluebers_1999,FARM_03,FARM_c,Grassland,Temperate,25,0.072,0.085,0.152,3.313,2054.09,1.177,0.02,0.548,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.449,0.629,31.127
Franzluebers_1999,FARM_03,FARM_c,Grassland,Temperate,25,0.116,0.149,0.291,2.765,582.6,1.289,0.02,0.505,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.616,0.867,42.915
Franzluebers_1999,FARM_03,FARM_c,Grassland,Temperate,25,0.144,0.197,0.408,2.252,178.79,1.37,0.02,0.474,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.7,0.984,48.691
Franzluebers_1999,FARM_03,FARM_c,Grassland,Temperate,25,0.174,0.223,0.43,1.672,46.94,1.279,0.02,0.509,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.788,1.114,55.161
Franzluebers_1999,FARM_03,FARM_c,Grassland,Temperate,25,0.202,0.248,0.463,1.292,19.6,1.229,0.02,0.528,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.811,1.134,56.138
Franzluebers_1999,FARM_03,FARM_c,Grassland,Temperate,25,0.246,0.325,0.65,0.872,7.45,1.323,0.02,0.492,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.866,1.197,59.263
Franzluebers_1999,FARM_03,FARM_c,Grassland,Temperate,25,0.29,0.387,0.778,0.719,5.24,1.333,0.02,0.488,0.175,0.165,0.66,5.8,0.0015,13.38,0.04,2.6,0.958,1.353,66.983
Franzluebers_1999,FARM_04,FARM_c,Grassland,Temperate,25,0.028,0.038,0.08,3.655,4522.03,1.374,0.011,0.477,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.099,0.122,11.401
Franzluebers_1999,FARM_04,FARM_c,Grassland,Temperate,25,0.072,0.1,0.21,3.163,1454.14,1.389,0.011,0.471,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.539,0.602,56.223
Franzluebers_1999,FARM_04,FARM_c,Grassland,Temperate,25,0.116,0.185,0.467,2.037,108.95,1.597,0.011,0.392,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.674,0.733,68.491
Franzluebers_1999,FARM_04,FARM_c,Grassland,Temperate,25,0.144,0.203,0.436,1.634,43.02,1.412,0.011,0.462,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.974,1.027,95.975
Franzluebers_1999,FARM_04,FARM_c,Grassland,Temperate,25,0.174,0.269,0.643,1.178,15.05,1.543,0.011,0.412,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.935,0.986,92.12
Franzluebers_1999,FARM_04,FARM_c,Grassland,Temperate,25,0.202,0.305,0.71,0.936,8.63,1.511,0.011,0.425,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,1.095,1.133,105.887
Franzluebers_1999,FARM_04,FARM_c,Grassland,Temperate,25,0.246,0.395,1.006,0.474,2.98,1.608,0.011,0.388,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.754,0.734,68.56
Franzluebers_1999,FARM_04,FARM_c,Grassland,Temperate,25,0.29,0.428,0.965,0.533,3.41,1.475,0.011,0.438,0.19,0.1,0.71,5.9,0.0007,15.07,0.02,2.63,0.788,0.947,88.499
Franzluebers_1999,FARM_05,FARM_c,Grassland,Temperate,25,0.028,0.036,0.069,3.795,6231.05,1.272,0.013,0.514,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.123,0.132,10.076
Franzluebers_1999,FARM_05,FARM_c,Grassland,Temperate,25,0.072,0.084,0.15,3.736,5448.03,1.168,0.013,0.554,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.228,0.318,24.304
Franzluebers_1999,FARM_05,FARM_c,Grassland,Temperate,25,0.116,0.157,0.322,3.23,1698.24,1.355,0.013,0.483,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.478,0.634,48.386
Franzluebers_1999,FARM_05,FARM_c,Grassland,Temperate,25,0.144,0.185,0.358,2.794,622.8,1.282,0.013,0.511,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.782,0.97,74.062
Franzluebers_1999,FARM_05,FARM_c,Grassland,Temperate,25,0.174,0.231,0.462,2.086,121.83,1.326,0.013,0.494,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.651,0.866,66.12
Franzluebers_1999,FARM_05,FARM_c,Grassland,Temperate,25,0.202,0.266,0.531,1.596,39.42,1.319,0.013,0.496,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.774,0.987,75.306
Franzluebers_1999,FARM_05,FARM_c,Grassland,Temperate,25,0.246,0.329,0.664,1.181,15.16,1.337,0.013,0.49,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.861,1.117,85.253
Franzluebers_1999,FARM_05,FARM_c,Grassland,Temperate,25,0.29,0.39,0.791,0.839,6.91,1.344,0.013,0.487,0.26,0.17,0.57,6,0.0009,13.94,0.02,2.62,0.833,1.123,85.727
Franzluebers_1999,FARM_06,FARM_c,Grassland,Temperate,25,0.028,0.036,0.069,3.777,5982.15,1.276,0.014,0.513,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.547,0.637,46.849
Franzluebers_1999,FARM_06,FARM_c,Grassland,Temperate,25,0.072,0.096,0.192,2.721,525.97,1.33,0.014,0.492,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.53,0.727,53.463
Franzluebers_1999,FARM_06,FARM_c,Grassland,Temperate,25,0.116,0.15,0.294,1.721,52.62,1.295,0.014,0.505,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.796,0.966,70.999
Franzluebers_1999,FARM_06,FARM_c,Grassland,Temperate,25,0.144,0.206,0.446,1.21,16.21,1.429,0.014,0.454,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.87,1.101,80.947
Franzluebers_1999,FARM_06,FARM_c,Grassland,Temperate,25,0.174,0.242,0.511,0.934,8.59,1.393,0.014,0.468,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.896,1.127,82.831
Franzluebers_1999,FARM_06,FARM_c,Grassland,Temperate,25,0.202,0.289,0.626,0.707,5.09,1.429,0.014,0.454,0.1,0.125,0.775,6.5,0.0009,15.45,0.02,2.62,0.878,1.094,80.478
