year,month,temp_surf,precip,moisture_upper_soil
2006,12,298.5720825195,431.1020672321,39.108669281
2007,1,298.4861450195,343.1822061539,37.3491859436
2007,2,298.5087280273,335.166671779,39.3474617004
2007,3,298.580871582,420.2508134767,40.2867164612
2007,4,298.2656860352,639.169964008,38.241443634
2007,5,298.4895629883,327.2805497982,38.202167511
2007,6,298.5560913086,257.1878589224,32.2614593506
2007,7,298.4243774414,219.7427542415,27.6467475891
2007,8,298.6775512695,202.1059307735,21.5512981415
2007,9,299.4830932617,70.7965145702,24.3330612183
2007,10,299.5202636719,133.8968012715,26.3843288422
2007,11,299.0534667969,199.1661835928,39.2708320618
2007,12,298.8157958984,439.7354316898,39.6318664551
2008,1,298.3982543945,424.4285216555,38.4236488342
2008,2,298.5942382813,359.5218504779,38.240486145
2008,3,298.3979492188,586.0353321768,38.5983848572
2008,4,298.2681274414,415.9818263724,39.7690467834
2008,5,298.4395141602,327.6022891514,36.5047836304
2008,6,298.6690063477,207.8147863504,30.628364563
2008,7,298.1481323242,145.5521865282,34.8108596802
2008,8,298.663269043,59.9091452896,35.480670929
2008,9,299.0682983398,91.4886879036,32.2627067566
2008,10,299.8427124023,172.6162747946,38.9122047424
2008,11,299.5881347656,140.7853520941,38.9780921936
2008,12,298.8314819336,554.4883171096,39.3440170288
2009,1,298.4345703125,217.3834769055,38.9368171692
2009,2,298.3494873047,338.8765566051,37.7198066711
2009,3,298.3719482422,470.3381625004,38.9666137695
2009,4,298.5242919922,318.7245838344,39.7214393616
2009,5,298.5013427734,216.8829704169,38.2717971802
2009,6,298.2656860352,169.5805904455,39.7980575562
2009,7,298.2028198242,22.7369155618,37.1334075928
2009,8,299.3629150391,128.399367677,34.7924156189
2009,9,299.067565918,127.6391500141,31.3508625031
2009,10,299.8341064453,79.160384601,35.7294769287
2009,11,300.1705932617,248.3894946054,38.3350219727
2009,12,298.5162963867,315.3811348602,37.8116226196
2010,1,298.5021362305,397.0789038576,37.7634468079
2010,2,298.6115722656,533.9049948379,35.5904197693
2010,3,298.5041503906,578.1586775556,38.875541687
2010,4,298.2632446289,542.568534147,37.6409721375
2010,5,298.4652099609,412.6343037933,39.1015625
2010,6,298.6287841797,136.2990589114,33.3064575195
2010,7,298.3079223633,167.9524686188,26.2385025024
2010,8,298.6948852539,124.4516012957,25.3382091522
2010,9,299.0543212891,90.7545337686,19.8366146088
2010,10,299.0509643555,160.8661687933,31.6654071808
2010,11,299.1762695313,214.245216921,40.3305740356
2010,12,298.7750244141,328.8388922811,39.4342575073
2011,1,298.598815918,378.1709647737,37.2775535583
2011,2,298.7870483398,276.8479061779,38.2878036499
2011,3,298.8145751953,399.3403203785,42.1351013184
2011,4,298.7290649414,414.2308929004,40.8568229675
2011,5,298.9486083984,250.5812826566,40.8434295654
2011,6,298.6668701172,243.2832119521,39.1352729797
2011,7,298.5553588867,191.0439999774,36.8734321594
2011,8,298.9353027344,148.5697659664,36.5100708008
2011,9,299.1810913086,108.3878399804,37.124786377
2011,10,299.4561157227,183.8653462473,38.9057312012
2011,11,299.0958862305,278.2846628688,41.8871650696
2011,12,298.8556518555,402.8926547617,39.0817832947
2012,1,298.9626464844,313.9483197592,37.2704200745
2012,2,298.6265258789,512.0866536163,37.8248062134
2012,3,298.7216186523,702.1452561021,39.2469902039
2012,4,298.5459594727,495.8005319349,39.1461791992
2012,5,298.6791992188,219.7612740565,38.2291221619
2012,6,298.1767578125,235.4280569125,40.7418022156
2012,7,298.3170166016,105.7566872332,39.5875587463
2012,8,298.4423217773,111.2623717636,38.9532012939
2012,9,299.0587158203,129.8672233243,38.6028556824
2012,10,299.2497558594,101.2596254004,39.6649856567
