chromosome,start,end,type,strand,expression,optimality,halflife,length
chrI,335,649,mRNA,+,182,0.18444112115732345,4.25525936581285,314
chrI,1807,2169,mRNA,-,29,0.17168372571428578,5.987405422213627,362
chrI,7235,9016,mRNA,-,521,0.2029661986301369,29.135584074477386,1781
chrI,11565,11951,mRNA,-,221,0.1827191442542788,5.941723414482362,386
chrI,13363,13743,mRNA,-,321,0.19948609099350034,4.249894617389988,380
chrI,22395,22685,mRNA,-,39,0.2063495999999997,0.5063340557529976,290
chrI,31567,32940,mRNA,+,1240,0.1850437982195849,29.24382118221077,1373
chrI,35155,36303,mRNA,+,6464,0.2253868194842405,110.25978150187994,1148
chrI,36509,37147,mRNA,+,1326,0.19321934456928846,55.34592250174322,638
chrI,38696,39046,mRNA,-,268,0.19737675755342626,3.0142173705839106,350
chrI,42177,42719,mRNA,+,688,0.19147005649717527,1.293486515083318,542
chrI,48564,51707,mRNA,+,3305,0.17667857142857146,128.31096127892445,3143
chrI,52801,54789,mRNA,-,1577,0.199011163141994,11.318262207092733,1988
chrI,54989,56857,mRNA,-,1190,0.1959582245430808,33.95592103989094,1868
chrI,57488,57796,mRNA,-,816,0.19928213395638628,8.316035018204158,308
chrI,57950,58462,mRNA,-,10233,0.18752493006993,70.0443122607258,512
chrI,61231,61608,mRNA,-,2038,0.186342099644128,1.1448444068452197,377
chrI,62840,65404,mRNA,+,3816,0.19033816425120764,74.20484791636605,2564
chrI,74020,74823,mRNA,+,927,0.19226666666666664,5.218464249685525,803
chrI,76427,79435,mRNA,+,20468,0.19258108991825587,24.42381337678856,3008
chrI,79718,80587,mRNA,+,693,0.1884121553398061,8.270215074873647,869
chrI,82706,83227,mRNA,+,1153,0.18833925603864726,20.890486223059195,521
chrI,84669,84977,mRNA,+,353,0.21767592592592586,8.187573575849171,308
chrI,87286,87752,mRNA,+,1593,0.1953109523809524,22.540551065978924,466
chrI,92900,94486,mRNA,+,1312,0.19135279805352784,19.62003987546643,1586
chrI,95386,95823,mRNA,-,761,0.19121300138312572,16.54085178964555,437
chrI,100225,101145,mRNA,-,1910,0.1910820179738557,36.075083715594474,920
